municipio,total,Construção de embarcações para esporte e lazer,Construção de embarcações para uso comercial e usos especiais,Manutenção e reparação de embarcações para esporte e lazer,Comércio varejista de embarcações e outros veículos recreativos,Locação de embarcações sem tripulação,Transporte aquaviário para passeios turísticos,Instalação de equipamentos para orientação à navegação
Florianopolis,231,4,2,66,22,15,100,22
Itajai,195,18,10,75,48,8,3,33
Balneario Camboriu,122,0,2,60,18,7,26,9
Joinville,121,12,2,77,14,4,6,6
Palhoca,72,10,3,34,16,0,4,5
Porto Belo,64,3,0,38,4,1,16,2
Navegantes,50,2,10,23,1,2,6,6
Sao Jose,45,7,0,19,15,0,4,0
Camboriu,45,0,0,28,5,2,7,3
Biguacu,35,6,0,20,2,0,2,5
Bombinhas,30,1,0,3,2,1,23,0
Tijucas,23,3,2,11,3,0,2,2
Sao Francisco Do Sul,21,2,0,15,0,0,3,1
Balneario De Picarras,20,3,0,9,0,0,6,2
Araquari,15,7,1,2,4,0,1,0
Penha,15,0,1,7,1,0,4,2
Chapeco,15,0,0,7,5,0,3,0
Governador Celso Ramos,14,1,0,3,0,0,10,0
Balneario Barra Do Sul,12,0,1,7,1,0,2,1
Garuva,10,0,0,3,6,0,1,0
Blumenau,10,1,0,2,5,0,0,2
Ilhota,9,3,0,5,0,0,1,0
Itapema,9,0,0,8,1,0,0,0
Gaspar,7,0,2,2,3,0,0,0
Barra Velha,6,0,0,3,2,0,1,0
Passo De Torres,5,0,0,3,1,0,1,0
Ararangua,5,0,0,1,1,0,3,0
Garopaba,5,0,0,2,0,0,3,0
Brusque,4,0,0,1,2,1,0,0
Laguna,4,1,1,1,0,0,1,0
Imbituba,3,0,1,1,1,0,0,0
Antonio Carlos,3,2,0,0,1,0,0,0
Santo Amaro Da Imperatriz,3,2,0,1,0,0,0,0
Jaragua Do Sul,3,0,0,2,0,0,1,0
Balneario Gaivota,3,0,0,1,0,0,1,1
Ita,3,1,0,0,0,0,1,1
Pouso Redondo,2,0,0,0,2,0,0,0
Itapoa,2,0,0,0,0,0,1,1
Luiz Alves,2,0,0,1,0,0,0,1
Rio Negrinho,2,1,0,0,1,0,0,0
Lages,2,0,0,0,2,0,0,0
Concordia,2,0,0,2,0,0,0,0
Tubarao,2,0,0,0,2,0,0,0
Capivari De Baixo,2,0,0,1,1,0,0,0
Guabiruba,1,0,0,0,0,0,0,1
Jacinto Machado,1,1,0,0,0,0,0,0
Pomerode,1,0,0,0,1,0,0,0
Catanduvas,1,0,0,1,0,0,0,0
Praia Grande,1,0,0,0,0,0,0,1
Sao Miguel Do Oeste,1,0,0,0,0,0,1,0
Morro Da Fumaca,1,0,0,1,0,0,0,0
Pinhalzinho,1,0,0,0,1,0,0,0
Balneario Rincao,1,0,0,0,1,0,0,0
Herval D'Oeste,1,0,0,1,0,0,0,0
Sao Ludgero,1,0,0,0,0,0,0,1
Palmitos,1,0,0,1,0,0,0,0
Guaramirim,1,0,0,1,0,0,0,0
Criciuma,1,0,0,0,0,0,0,1
Videira,1,0,0,1,0,0,0,0
Imarui,1,0,0,0,1,0,0,0
Icara,1,0,0,0,0,0,0,1
Sideropolis,1,0,0,1,0,0,0,0
Sao Bento Do Sul,1,0,0,0,1,0,0,0
Mondai,1,0,0,1,0,0,0,0
