validar (S/N),nome conhecido?,razao_social,nomes fantasia,municipio (matriz),todos os municipios,porte,desde,cnaes principais,cnpj,observacao
,sim,ESTALEIRO DIVERPRO PRODUTOS E SERVICOS NAUTICOS LTDA,ESTALEIRO DIVERPRO,Araquari,Araquari,Empresa de pequeno porte,2022,3012100,48929372000123,
,sim,ESTALEIRO VIK BOATS LTDA,,Araquari,Araquari,Empresa de pequeno porte,2024,3012100,54038222000122,
,sim,OCEANIA BOATS INDUSTRIA DE BARCOS LTDA,OCEANIA BOATS,Araquari,Araquari,Empresa de pequeno porte,2021,3012100,41992986000100,
,sim,DI MONTECHIARI ESTALEIRO LTDA,DM BOAT,Balneario Camboriu,Balneario Camboriu,Demais,2022,3011301,47053398000198,
,sim,KASTIGAR & LENZI YACHTS LTDA,,Balneario De Picarras,Balneario De Picarras,Demais,2004,3012100,06977040000174,
,sim,ESTALEIRO ATLANTICO SUL INDUSTRIA E COMERCIO NAVAL LTDA,,Biguacu,Biguacu,Demais,2026,3012100,66195878000138,
,sim,STAR NAUTICA LTDA,STAR,Biguacu,Biguacu,Empresa de pequeno porte,2019,3012100,33725273000152,
,sim,SUNLINE NAUTICA LTDA,SUNLINE NAUTICA,Biguacu,Biguacu,Microempresa,2007,3012100,09277471000116,
,sim,CONSORCIO ESTALEIRO SCHAEFER YACHTS E SAFEHAVEN MARINE,,Florianopolis,Florianopolis,Demais,2025,3011302,62832355000102,
,sim,ESTALEIRO PELICANNO LTDA,PELICANNO,Florianopolis,Florianopolis,Empresa de pequeno porte,2020,3012100,36201066000197,
,sim,ILHA BOATS INDUSTRIA NAUTICA LTDA.,FS BOATS,Florianopolis,Florianopolis,Empresa de pequeno porte,2006,3012100,07936287000105,
,sim,COLUNNA LTDA,,Governador Celso Ramos,Governador Celso Ramos,Empresa de pequeno porte,2019,3012100,32788634000147,
,sim,AZIMUT DO BRASIL FABRICACAO DE IATES LTDA,,Itajai,Itajai,Demais,2010,3011301,11568948000164,
,sim,C&C EMBARCACOES DE RECREIO LTDA,GRAND OCEAN BOATS,Itajai,Itajai,Demais,2022,3012100,46143692000128,
,sim,CENTURY YACHTS INDUSTRIA NAUTICA LTDA,CENTURY YACHTS,Itajai,Itajai,Demais,2011,3012100,13870389000178,
