cnpj,razao_social,nome_fantasia,porte,mei,data_inicio,cnae_principal,cnae_principal_nome,municipio,bairro,cep
59162350000105,59.162.350 JACKSON JOSE DA SILVA,,Microempresa,S,20250129,7721700,Aluguel de equipamentos recreativos e esportivos,BARRA VELHA,SAO CRISTOVAO,88390000
59176326000117,59.176.326 PAULO EDUARDO PESSOA LOPES,,Microempresa,S,20250129,9609207,Alojamento de animais domésticos,FLORIANOPOLIS,INGLESES DO RIO VERMELHO,88058450
59209425000158,LK TREINAMENTO PERSONALIZADO LTDA,,Microempresa,N,20250131,9313100,Atividades de condicionamento físico,QUILOMBO,INDUSTRIAL,89850000
59231121000197,L&D VILLA ENTRETENIMENTO LTDA,L&D VILLAPARQUE,Microempresa,N,20250201,9329802,Exploração de boliches,BRUSQUE,CENTRO II - URBANO,88353000
59241407000153,59.241.407 BEATRIZ WANZUITA SILVA,,Microempresa,S,20250203,4330405,Aplicação de revestimentos e de resinas em interiores e exteriores,BARRA VELHA,ITAJUBA,88390000
59306577000179,59.306.577 JEANE MARINA MENDES DA SILVA,,Microempresa,S,20250205,5011401,Transporte marítimo de cabotagem - Carga,ITAJAI,CABECUDAS,88306403
59351336000141,CHARLOTTE LOCACOES E EVENTOS LTDA,CHARLOTTE LOCACOES E EVENTOS,Microempresa,N,20250207,7729202,"Aluguel de móveis, utensílios e aparelhos de uso doméstico e pessoal; instrumentos musicais",BLUMENAU,ITOUPAVA NORTE,89052080
59394637000152,"BOAT NAUTICA, PECAS, ACESSORIOS E SERVICOS LTDA",BOAT NAUTICA,Empresa de pequeno porte,N,20250211,4763605,Comércio varejista de embarcações e outros veículos recreativos; peças e acessórios,ITAJAI,CENTRO,88303101
59460864000139,59.460.864 VILMAR PAULO CARDOSO PINOS,,Microempresa,S,20250213,3230200,Fabricação de artefatos para pesca e esporte,FLORIANOPOLIS,BARRA DA LAGOA,88061413
59467997000137,59.467.997 VINICIUS ARIATI,,Microempresa,S,20250214,8599699,Outras atividades de ensino não especificadas anteriormente,TREZE TILIAS,SAO JOSE,89650000
59470242000191,AUREA DE FATIMA DA SILVA GOMES,LEC LIGA ESPORTIVA DO CONTESTADO,Microempresa,N,20250214,9319199,Outras atividades esportivas não especificadas anteriormente,LEBON REGIS,CENTRO - URBANO,89515000
59477557000160,59.477.557 SULAMITA DE PAULA,,Microempresa,S,20250214,3317102,Manutenção e reparação de embarcações para esporte e lazer,ITAJAI,MURTA,88311310
59521265000188,59.521.265 TARLYNE FRANCYS BEUS,,Microempresa,S,20250218,5099801,Transporte aquaviário para passeios turísticos,BOMBINHAS,MARISCAL,88215000
59561025000107,59.561.025 ROSANGELA MARIA DA SILVA VIESER,,Microempresa,S,20250219,5099801,Transporte aquaviário para passeios turísticos,BALNEARIO BARRA DO SUL,CENTRO,89247000
59594054000175,M.B FUTSAL+ LTDA,,Microempresa,N,20250221,9319101,Produção e promoção de eventos esportivos,SAO MIGUEL DO OESTE,JARDIM PEPERI,89900000
59600453000100,59.600.453 IRONI EBERT,,Microempresa,S,20250221,8230001,"Serviços de organização de feiras, congressos, exposições e festas",AGUA DOCE,CENTRO,89654000
56142047000144,56.142.047 CATIANA DOS SANTOS FUNCU DE LIZ,,Microempresa,S,20240729,4789099,Comércio varejista de outros produtos não especificados anteriormente,OTACILIO COSTA,POCO RICO,88540000
59700343000101,59.700.343 VERA LUCIA DE FREITAS COELHO,,Microempresa,S,20250227,7721700,Aluguel de equipamentos recreativos e esportivos,ITAPEMA,MEIA PRAIA,88220000
59714734000185,ASSOCIACAO DE ESPORTES BRAVOS FUTSAL,BRAVOS FUTSAL,Demais,,20250218,9499500,Atividades associativas não especificadas anteriormente,ITAJAI,CENTRO,88302202
59794970000159,59.794.970 ROBSON GABRIEL MOREIRA LIBIO,,Microempresa,S,20250307,3317102,Manutenção e reparação de embarcações para esporte e lazer,BALNEARIO CAMBORIU,BARRA,88332135
59798271000187,59.798.271 JULIANA BARBOZA DE FREITAS,,Microempresa,S,20250308,3317102,Manutenção e reparação de embarcações para esporte e lazer,GARUVA,PALMILTAL,89248000
59853824000157,59.853.824 ARLETE DE FATIMA SEZERINO,,Microempresa,S,20250312,8230002,Casas de festas e eventos,INDAIAL,CARIJOS,89084018
59872458000183,59.872.458 HERBERT VICTOR NASCIMENTO DE CARVALHO,,Microempresa,S,20250312,8219999,Preparação de documentos e serviços especializados de apoio administrativo não especificados anteriormente,SAO JOSE,ROCADO,88108270
59912820000100,MICHELE A. VEDOIS LTDA,,Microempresa,N,20250314,9319199,Outras atividades esportivas não especificadas anteriormente,CHAPECO,PASSO DOS FORTES,89805500
59927490000119,59.927.490 JANALICE RODRIGUES D AVILA,,Microempresa,S,20250317,4781400,Comércio varejista de artigos do vestuário e acessórios,BRUSQUE,NOVA BRASILIA,88352670
59972980000137,ASSOCIACAO ESPORTIVA BAFANA FUTEBOL CLUBE,BAFANA FUTEBOL CLUBE,Demais,,20250220,9319101,Produção e promoção de eventos esportivos,JARAGUA DO SUL,VILA LENZI,89252400
41188062000407,MJA SERVICOS NAVAIS LTDA,MJA SERVICOS NAVAIS,Demais,N,20250324,8211300,Serviços combinados de escritório e apoio administrativo,JOINVILLE,IRIRIU,89227015
60056236000171,JB COMERCIO DE MOTORES E ACESSORIOS NAUTICOS LTDA,AQUASPORT,Microempresa,N,20250324,4763605,Comércio varejista de embarcações e outros veículos recreativos; peças e acessórios,ARAQUARI,PORTO GRANDE,89245000
60085101000134,60.085.101 ALLAN RODRIGO DOS SANTOS ABDALLA DA SILVA,,Microempresa,S,20250325,4923001,Serviço de táxi,ITAPEMA,MEIA PRAIA,88220000
60113831000100,ISP OFFSHORE SOLUTIONS LTDA,ISP OFFSHORE SOLUTIONS,Microempresa,N,20250327,3321000,Instalação de máquinas e equipamentos industriais,BALNEARIO CAMBORIU,CENTRO,88330363
