flow,year,monthNumber,state,uf,metricFOB,metricKG,metricStatistic
export,2025,08,Santa Catarina,SC,7761247,110355,
export,2025,07,Santa Catarina,SC,5183658,117499,
export,2025,03,Santa Catarina,SC,4888996,89714,
export,2025,05,Santa Catarina,SC,3814524,66756,
export,2025,11,Santa Catarina,SC,3740351,80740,
export,2025,10,Santa Catarina,SC,2603686,47175,
export,2025,04,Santa Catarina,SC,2502573,54723,
export,2025,12,Santa Catarina,SC,2356017,42615,
export,2025,01,Santa Catarina,SC,1792284,44414,
export,2025,05,São Paulo,SP,1356252,19692,
export,2025,03,Pernambuco,PE,1048111,36550,
export,2025,06,Santa Catarina,SC,1044902,20750,
export,2025,10,Pernambuco,PE,1042744,28600,
export,2025,02,Santa Catarina,SC,1024132,24858,
export,2025,07,São Paulo,SP,1012183,15667,
export,2025,12,Paraná,PR,948980,26849,
export,2025,05,Paraná,PR,875160,28541,
export,2025,09,Santa Catarina,SC,868395,20250,
export,2025,08,Paraná,PR,860022,36756,
export,2025,05,Pernambuco,PE,832656,26050,
export,2025,06,Pernambuco,PE,814796,21500,
export,2025,03,Não Declarada,ND,784816,5150,
export,2025,07,Pernambuco,PE,761005,22150,
export,2025,06,São Paulo,SP,750945,10100,
export,2025,09,Paraná,PR,640913,28520,
export,2025,02,Rio de Janeiro,RJ,593378,10500,
export,2025,01,Pernambuco,PE,550115,13000,
export,2025,12,São Paulo,SP,501151,9452,
export,2025,09,São Paulo,SP,493280,13450,
export,2025,02,Paraná,PR,429638,17196,
export,2025,12,Pernambuco,PE,425102,16000,
export,2025,01,Rio Grande do Sul,RS,424191,17700,
export,2025,03,Paraná,PR,372229,15778,
export,2025,04,São Paulo,SP,365975,4830,
export,2025,11,Pernambuco,PE,335770,10200,
export,2025,04,Pernambuco,PE,310712,9650,
export,2025,11,Minas Gerais,MG,255230,9585,
export,2025,04,Paraná,PR,251295,8026,
export,2025,07,Paraná,PR,242711,8021,
export,2025,02,Rio Grande do Sul,RS,202551,8400,
export,2025,10,Minas Gerais,MG,166098,5712,
export,2025,05,Minas Gerais,MG,120256,4245,
export,2025,01,São Paulo,SP,115606,4020,
export,2025,03,São Paulo,SP,93714,4624,
export,2025,08,São Paulo,SP,83758,5700,
export,2025,01,Paraná,PR,81180,3276,
export,2025,08,Minas Gerais,MG,80067,2635,
export,2025,12,Amazonas,AM,72037,4189,
export,2025,06,Rio de Janeiro,RJ,61853,88,
export,2025,02,Pernambuco,PE,58550,3800,
export,2025,10,Rio de Janeiro,RJ,44755,2110,
export,2025,02,São Paulo,SP,44727,1500,
export,2025,04,Amazonas,AM,36302,2090,
export,2025,07,Não Declarada,ND,36132,708,
export,2025,08,Amazonas,AM,36025,1890,
export,2025,10,São Paulo,SP,35473,3218,
export,2025,02,Minas Gerais,MG,31406,1565,
export,2025,09,Rio de Janeiro,RJ,30655,18,
export,2025,07,Amazonas,AM,30419,3045,
export,2025,06,Paraná,PR,30096,1617,
export,2025,11,Paraná,PR,25889,1857,
export,2025,09,Amazonas,AM,24090,1750,
export,2025,06,Amazonas,AM,22128,2140,
export,2025,06,Minas Gerais,MG,16200,795,
export,2025,01,Amazonas,AM,15687,1450,
export,2025,06,Roraima,RR,13577,1085,
export,2025,10,Amazonas,AM,12500,1200,
export,2025,03,Amazonas,AM,11952,1200,
export,2025,11,Amazonas,AM,10808,1090,
export,2025,07,Roraima,RR,10044,1150,
export,2025,11,Mato Grosso,MT,9533,530,
export,2025,05,Amazonas,AM,8923,1310,
export,2025,12,Roraima,RR,8612,1440,
export,2025,06,Rio Grande do Sul,RS,7055,350,
export,2025,02,Amazonas,AM,6876,680,
export,2025,12,Rondônia,RO,6857,96,
