flow,year,monthNumber,municipio,uf,metricFOB,metricKG
export,2025,08,Itajaí,SC,7039119,95355
export,2025,03,Palhoça,SC,4719472,82200
export,2025,07,Itajaí,SC,3138675,75179
export,2025,11,Itajaí,SC,3009375,65740
export,2025,05,Palhoça,SC,2454570,33700
export,2025,10,Palhoça,SC,2298944,38300
export,2025,12,Palhoça,SC,2083655,33100
export,2025,07,Palhoça,SC,2025683,42000
export,2025,04,Itajaí,SC,1447262,36323
export,2025,05,Itajaí,SC,1339812,30893
export,2025,05,Guarujá,SP,1277992,16692
export,2025,01,Palhoça,SC,1095254,24400
export,2025,03,Jaboatão dos Guararapes,PE,1048111,36550
export,2025,10,Jaboatão dos Guararapes,PE,1042744,28600
export,2025,04,Palhoça,SC,1037985,18000
export,2025,07,Guarujá,SP,963664,13035
export,2025,12,Curitiba,PR,945000,26500
export,2025,03,São Paulo,SP,840349,8692
export,2025,05,Jaboatão dos Guararapes,PE,832656,26050
export,2025,06,Jaboatão dos Guararapes,PE,814796,21500
export,2025,07,Jaboatão dos Guararapes,PE,761005,22150
export,2025,06,Guarujá,SP,750945,10100
export,2025,08,Curitiba,PR,734099,29866
export,2025,11,Palhoça,SC,730976,15000
export,2025,09,Palhoça,SC,727397,15000
export,2025,05,Curitiba,PR,725900,21650
export,2025,08,Palhoça,SC,722128,15000
export,2025,09,Curitiba,PR,640913,28520
export,2025,02,Queimados,RJ,593378,10500
export,2025,06,Itajaí,SC,575375,11750
export,2025,02,Palhoça,SC,574166,12000
export,2025,01,Jaboatão dos Guararapes,PE,550115,13000
export,2025,01,Itajaí,SC,507419,16014
export,2025,12,Guarujá,SP,490247,8500
export,2025,06,Palhoça,SC,469527,9000
export,2025,02,Itajaí,SC,449966,12858
export,2025,12,Jaboatão dos Guararapes,PE,425102,16000
export,2025,01,Vera Cruz,RS,424191,17700
export,2025,02,São José dos Pinhais,PR,411470,16500
export,2025,04,Guarujá,SP,351561,3709
export,2025,11,Jaboatão dos Guararapes,PE,335770,10200
export,2025,09,Guarujá,SP,310844,4800
export,2025,04,Jaboatão dos Guararapes,PE,310712,9650
export,2025,10,Itajaí,SC,304742,8875
export,2025,12,Itajaí,SC,272362,9515
export,2025,03,São José dos Pinhais,PR,270000,8300
export,2025,11,Capitólio,MG,255230,9585
export,2025,04,Curitiba,PR,250000,7750
export,2025,07,Curitiba,PR,240000,7750
export,2025,02,Vera Cruz,RS,202551,8400
export,2025,03,Itajaí,SC,193578,9546
export,2025,01,São José,SC,189611,4000
export,2025,09,Diadema,SP,159313,6000
export,2025,05,São José dos Pinhais,PR,135000,6150
export,2025,10,Capitólio,MG,132178,4205
export,2025,08,São José dos Pinhais,PR,124893,6800
export,2025,09,Itajaí,SC,121798,3500
export,2025,05,Capitólio,MG,120256,4245
export,2025,01,Diadema,SP,112809,4000
export,2025,08,Capitólio,MG,80067,2635
export,2025,01,São José dos Pinhais,PR,80000,3000
export,2025,05,Pederneiras,SP,78260,3000
export,2025,06,Rio de Janeiro,RJ,61853,88
export,2025,03,Curitiba,PR,59325,3265
export,2025,02,Jaboatão dos Guararapes,PE,58550,3800
export,2025,07,Paulínia,SP,48154,2630
export,2025,10,Santo Antônio de Pádua,RJ,44755,2110
export,2025,02,Pederneiras,SP,44727,1500
export,2025,08,São Paulo,SP,43090,3562
export,2025,12,Manaus,AM,40462,3479
export,2025,08,Guararema,SP,40000,1850
export,2025,03,Atibaia,SP,38181,1082
export,2025,07,Balneário Camboriú,SC,36132,708
export,2025,04,Manaus,AM,35383,1940
export,2025,10,Taboão da Serra,SP,34686,3168
export,2025,10,Franca,SP,33920,1507
export,2025,12,Tabatinga,AM,31575,710
export,2025,02,Franca,SP,31406,1565
export,2025,09,Rio de Janeiro,RJ,30655,18
export,2025,06,Curitiba,PR,28500,1285
export,2025,05,Balneário Camboriú,SC,26734,2482
export,2025,08,Manaus,AM,25802,680
export,2025,09,Taboão da Serra,SP,23123,2650
export,2025,07,Manaus,AM,23105,2105
export,2025,06,Manaus,AM,22128,2140
export,2025,09,Manaus,AM,21234,1630
export,2025,07,Foz do Iguaçu,PR,21169,410
export,2025,09,Foz do Iguaçu,PR,19200,1750
export,2025,07,Boa Vista,RR,17358,2090
export,2025,04,São José,SC,17326,400
export,2025,02,Curitiba,PR,16657,620
export,2025,06,Capitólio,MG,16200,795
export,2025,01,Manaus,AM,15687,1450
export,2025,11,Francisco Beltrão,PR,15500,1350
export,2025,06,Boa Vista,RR,13577,1085
export,2025,05,Pinhais,PR,13008,465
export,2025,10,Manaus,AM,12500,1200
export,2025,03,Francisco Beltrão,PR,12500,1050
export,2025,03,Manaus,AM,11952,1200
export,2025,12,Taboão da Serra,SP,10445,904
export,2025,08,Boa Vista,RR,10223,1210
export,2025,11,Chuí,RS,9533,530
export,2025,12,Boa Vista,RR,8612,1440
export,2025,11,Corumbá,MS,8505,291
export,2025,04,Itaquaquecetuba,SP,7518,528
export,2025,11,Boa Vista,RR,7368,900
export,2025,06,Santana do Livramento,RS,7055,350
export,2025,02,Manaus,AM,6876,680
export,2025,12,Porto Velho,RO,6857,96
export,2025,04,São Vicente,SP,6700,592
export,2025,05,Boa Vista,RR,6592,1010
export,2025,11,São Paulo,SP,5588,800
export,2025,03,Foz do Iguaçu,PR,5500,950
export,2025,03,Boa Vista,RR,5005,695
export,2025,09,Corumbá,MS,4598,327
