flow,year,municipio,uf,metricFOB,metricKG
export,2026,Itajaí,SC,11918004,237440
export,2026,Palhoça,SC,8692755,147400
export,2026,Curitiba,PR,3569292,101949
export,2026,Jaboatão dos Guararapes,PE,2780183,80550
export,2026,Guarujá,SP,1973788,46000
export,2026,Capitólio,MG,514263,17220
export,2026,Biguaçu,SC,200330,4750
export,2026,Manaus,AM,196115,15485
export,2026,Diadema,SP,170910,4000
export,2026,São José dos Pinhais,PR,145000,4900
export,2026,Santa Terezinha de Itaipu,PR,105048,1200
export,2026,Taboão da Serra,SP,67580,6122
export,2026,Foz do Iguaçu,PR,55921,3017
export,2026,Franca,SP,37212,1786
export,2026,Paulínia,SP,34262,1640
export,2026,Porto Velho,RO,22134,1800
export,2026,Macapá,AP,18850,2900
export,2026,Santo Antônio de Pádua,RJ,15350,759
export,2026,Pompéia,SP,13848,668
export,2026,Rio de Janeiro,RJ,10541,114
export,2026,Boa Vista,RR,9095,630
export,2026,Corumbá,MS,6276,180
export,2026,Guaíra,PR,2003,300
export,2026,São Paulo,SP,1714,15
export,2026,São Vicente,SP,1266,42
export,2026,Alvorada do Sul,PR,1225,288
export,2026,São Francisco do Sul,SC,432,5
export,2025,Palhoça,SC,18939757,337700
export,2025,Itajaí,SC,18399483,375548
export,2025,Jaboatão dos Guararapes,PE,6179561,187500
export,2025,Guarujá,SP,4145253,56836
export,2025,Curitiba,PR,3640394,127206
export,2025,São José dos Pinhais,PR,1021363,40750
export,2025,São Paulo,SP,892385,13077
export,2025,Vera Cruz,RS,626742,26100
export,2025,Capitólio,MG,603931,21465
export,2025,Queimados,RJ,593378,10500
export,2025,Diadema,SP,272581,10048
export,2025,Manaus,AM,220900,16994
export,2025,São José,SC,206937,4400
export,2025,Pederneiras,SP,122987,4500
export,2025,Rio de Janeiro,RJ,92508,106
export,2025,Boa Vista,RR,75058,8970
export,2025,Taboão da Serra,SP,68254,6722
export,2025,Franca,SP,65326,3072
export,2025,Balneário Camboriú,SC,62866,3190
export,2025,Foz do Iguaçu,PR,55120,3674
export,2025,Paulínia,SP,48154,2630
export,2025,Santo Antônio de Pádua,RJ,44755,2110
export,2025,Guararema,SP,40000,1850
export,2025,Atibaia,SP,38181,1082
export,2025,Tabatinga,AM,31575,710
export,2025,Francisco Beltrão,PR,28000,2400
export,2025,Porto Velho,RO,15842,1746
export,2025,Corumbá,MS,13103,618
export,2025,Pinhais,PR,13008,465
export,2025,Chuí,RS,9533,530
export,2025,Alvorada do Sul,PR,9470,2053
export,2025,Itaquaquecetuba,SP,7518,528
export,2025,Santana do Livramento,RS,7055,350
export,2025,São Vicente,SP,6700,592
export,2025,Ponta Porã,MS,2753,330
export,2025,Oiapoque,AP,2455,1000
export,2025,Pompéia,SP,787,50
export,2025,Tupã,SP,668,288
export,2025,Mazagão,AP,50,36
export,2025,Vila Velha,ES,0,0
export,2024,Itajaí,SC,26237273,550557
export,2024,Palhoça,SC,20432727,367200
export,2024,Jaboatão dos Guararapes,PE,7242600,241200
export,2024,São José dos Pinhais,PR,3198723,94481
export,2024,Curitiba,PR,2491832,79499
export,2024,Joinville,SC,1979976,28112
export,2024,Capitólio,MG,1249718,43814
export,2024,Guarujá,SP,1213043,15513
export,2024,São José,SC,928570,19550
export,2024,Santa Terezinha de Itaipu,PR,589333,8300
export,2024,Biguaçu,SC,431988,34000
export,2024,Diadema,SP,416529,9106
export,2024,Rio de Janeiro,RJ,350677,5315
export,2024,Cabo de Santo Agostinho,PE,321230,12000
export,2024,São Paulo,SP,172227,9092
export,2024,Atibaia,SP,146255,3179
export,2024,Manaus,AM,112626,11900
export,2024,Taboão da Serra,SP,88551,10366
export,2024,Pinhais,PR,81140,4623
export,2024,Vitória,ES,39942,2532
export,2024,Paulínia,SP,33696,1670
export,2024,Franca,SP,29277,1365
export,2024,Boa Vista,RR,24166,3955
export,2024,Porto Xavier,RS,21600,1050
export,2024,Oiapoque,AP,11646,950
export,2024,Corumbá,MS,8699,574
export,2024,Porto Seguro,BA,7333,530
export,2024,Pompéia,SP,7258,400
export,2024,Ponta Porã,MS,4317,300
export,2024,Pelotas,RS,3808,345
export,2024,Tabatinga,AM,3420,190
export,2024,Macapá,AP,3128,103
export,2024,Foz do Iguaçu,PR,2955,194
export,2024,Porto Velho,RO,2594,340
export,2024,Guajará-Mirim,RO,891,100
export,2024,Alvorada do Sul,PR,754,172
export,2024,São Francisco do Sul,SC,456,6
export,2023,Palhoça,SC,27290399,554164
export,2023,Itajaí,SC,24573565,546854
export,2023,Jaboatão dos Guararapes,PE,6691253,164600
export,2023,São José dos Pinhais,PR,2617628,65750
export,2023,Joinville,SC,1973161,36800
export,2023,Capitólio,MG,1083783,34163
export,2023,Itupeva,SP,778586,14961
export,2023,Curitiba,PR,553491,16750
export,2023,São José,SC,426090,8000
export,2023,Rio de Janeiro,RJ,417817,14689
export,2023,Atibaia,SP,387390,19370
export,2023,Biguaçu,SC,254074,10600
export,2023,Duque de Caxias,RJ,207100,4100
export,2023,São Carlos,SP,149250,131
export,2023,Pinhais,PR,132613,5508
export,2023,Manaus,AM,107059,12008
export,2023,Paulínia,SP,84769,4985
export,2023,Taboão da Serra,SP,72619,6187
export,2023,Queimados,RJ,55659,4120
export,2023,São Paulo,SP,51231,5887
export,2023,Oiapoque,AP,35788,4784
export,2023,Foz do Iguaçu,PR,27753,2816
export,2023,Franca,SP,27551,1349
export,2023,Vitória,ES,25200,216
export,2023,Porto Xavier,RS,18550,900
export,2023,Santos,SP,11996,127
export,2023,Guaíra,PR,9377,970
export,2023,Lauro de Freitas,BA,8947,590
export,2023,Corumbá,MS,8563,375
export,2023,São Vicente,SP,4790,350
export,2023,Caxias do Sul,RS,4588,272
export,2023,Porto Velho,RO,2753,240
export,2023,Marau,RS,2600,72
export,2023,Pompéia,SP,2060,102
export,2023,Pelotas,RS,1691,230
export,2023,Boa Vista,RR,769,100
export,2023,Salvador,BA,610,16
export,2022,Palhoça,SC,30405029,663093
export,2022,Itajaí,SC,18925433,513697
export,2022,Macapá,AP,2203274,64480
export,2022,Jaboatão dos Guararapes,PE,2031209,63550
export,2022,São José,SC,763463,21000
export,2022,Biguaçu,SC,558615,22500
export,2022,Atibaia,SP,457905,20215
export,2022,São José dos Pinhais,PR,369140,11200
export,2022,Cabo de Santo Agostinho,PE,350000,12800
export,2022,Rio de Janeiro,RJ,339714,3483
export,2022,Itupeva,SP,277941,5727
export,2022,Manaus,AM,134930,14548
export,2022,Curitiba,PR,116720,6895
export,2022,São Paulo,SP,76234,6131
export,2022,Paulínia,SP,71030,3765
export,2022,Porto Xavier,RS,65350,3800
export,2022,Franca,SP,53903,2431
