recorte,flow,year,coNcm,ncm,metricFOB,metricKG,metricStatistic
BR,export,2026,89039900,"Outros barcos/embarcações de recreio/esporte, inclusive canoas",17530405,408740,623
BR,export,2026,89033200,"Barcos a motor, exceto os infláveis, não equipados com motor fora de borda, de comprimento superior a 7,5 m, mas não superior a 24 m",10950457,202506,28
BR,export,2026,89032200,"Barcos à vela, exceto os infláveis, mesmo com motor auxiliar de comprimento superior a 7,5 m, mas não superior a 24 m",1100000,30000,1
BR,export,2026,89039300,"Outros iates e outros barcos e embarcações de recreio ou de esporte; barcos a remos e canoas, de comprimento não superior a 7,5 m",635452,24365,63
BR,export,2026,89033100,"Barcos a motor, exceto os infláveis, não equipados com motor fora de borda, de comprimento não superior a 7,5 m",345934,15508,14
BR,export,2026,89031100,"Barcos infláveis, mesmo com casco rígido, equipados com um motor ou concebidos para comportá-lo, de peso vazio (sem carga) sem motor não superior a 100 kg",1149,41,1
BR,export,2025,89033200,"Barcos a motor, exceto os infláveis, não equipados com motor fora de borda, de comprimento superior a 7,5 m, mas não superior a 24 m",28615727,566903,65
BR,export,2025,89039900,"Outros barcos/embarcações de recreio/esporte, inclusive canoas",25948690,652550,1184
BR,export,2025,89039300,"Outros iates e outros barcos e embarcações de recreio ou de esporte; barcos a remos e canoas, de comprimento não superior a 7,5 m",818101,37992,322
BR,export,2025,89032200,"Barcos à vela, exceto os infláveis, mesmo com motor auxiliar de comprimento superior a 7,5 m, mas não superior a 24 m",784816,5150,1
BR,export,2025,89033100,"Barcos a motor, exceto os infláveis, não equipados com motor fora de borda, de comprimento não superior a 7,5 m",306368,13943,22
BR,export,2025,89031200,"Barcos infláveis, mesmo com casco rígido, não concebidos para serem utilizados com um motor e de peso vazio (sem carga) não superior a 100 kg",61853,88,2
BR,export,2025,89031900,"Outros barcos infláveis, mesmo com casco rígido, não classificados em códigos anteriores",38181,1082,1
BR,export,2025,89031100,"Barcos infláveis, mesmo com casco rígido, equipados com um motor ou concebidos para comportá-lo, de peso vazio (sem carga) sem motor não superior a 100 kg",30655,18,1
BR,export,2024,89033200,"Barcos a motor, exceto os infláveis, não equipados com motor fora de borda, de comprimento superior a 7,5 m, mas não superior a 24 m",32888927,679270,78
BR,export,2024,89039900,"Outros barcos/embarcações de recreio/esporte, inclusive canoas",27629731,717361,759
BR,export,2024,89033300,"Barcos a motor, exceto os infláveis, não equipados com motor fora de borda, de comprimento superior a 24 m",5407037,92960,1
BR,export,2024,89039300,"Outros iates e outros barcos e embarcações de recreio ou de esporte; barcos a remos e canoas, de comprimento não superior a 7,5 m",1197742,53153,176
BR,export,2024,89033100,"Barcos a motor, exceto os infláveis, não equipados com motor fora de borda, de comprimento não superior a 7,5 m",294229,11368,11
BR,export,2024,89031100,"Barcos infláveis, mesmo com casco rígido, equipados com um motor ou concebidos para comportá-lo, de peso vazio (sem carga) sem motor não superior a 100 kg",264708,5032,69
BR,export,2024,89031900,"Outros barcos infláveis, mesmo com casco rígido, não classificados em códigos anteriores",152133,3291,9
BR,export,2024,89031200,"Barcos infláveis, mesmo com casco rígido, não concebidos para serem utilizados com um motor e de peso vazio (sem carga) não superior a 100 kg",56451,148,14
BR,export,2023,89033200,"Barcos a motor, exceto os infláveis, não equipados com motor fora de borda, de comprimento superior a 7,5 m, mas não superior a 24 m",32834438,687857,54
BR,export,2023,89039900,"Outros barcos/embarcações de recreio/esporte, inclusive canoas",26577537,646501,661
BR,export,2023,89033300,"Barcos a motor, exceto os infláveis, não equipados com motor fora de borda, de comprimento superior a 24 m",5344304,92960,1
BR,export,2023,89039300,"Outros iates e outros barcos e embarcações de recreio ou de esporte; barcos a remos e canoas, de comprimento não superior a 7,5 m",1904198,70784,608
BR,export,2023,89033100,"Barcos a motor, exceto os infláveis, não equipados com motor fora de borda, de comprimento não superior a 7,5 m",533752,18983,13
BR,export,2023,89031900,"Outros barcos infláveis, mesmo com casco rígido, não classificados em códigos anteriores",368101,8895,28
BR,export,2023,89031100,"Barcos infláveis, mesmo com casco rígido, equipados com um motor ou concebidos para comportá-lo, de peso vazio (sem carga) sem motor não superior a 100 kg",289551,7451,151
BR,export,2023,89031200,"Barcos infláveis, mesmo com casco rígido, não concebidos para serem utilizados com um motor e de peso vazio (sem carga) não superior a 100 kg",248473,9605,42
BR,export,2023,89032100,"Barcos à vela, exceto os infláveis, mesmo com motor auxiliar de comprimento não superior a 7,5 m",769,100,1
BR,export,2022,89033200,"Barcos a motor, exceto os infláveis, não equipados com motor fora de borda, de comprimento superior a 7,5 m, mas não superior a 24 m",22730176,509692,39
BR,export,2022,89039900,"Outros barcos/embarcações de recreio/esporte, inclusive canoas",18080586,491067,978
BR,export,2022,89039200,"Barcos a motor, exceto com motor fora-de-borda",11906638,371941,34
BR,export,2022,89032300,"Barcos à vela, exceto os infláveis, mesmo com motor auxiliar de comprimento superior a 24 m",2205347,64572,2
