recorte,flow,year,country,metricFOB,metricKG,metricStatistic
BR,export,2026,Estados Unidos,14366808,315675,51
BR,export,2026,Espanha,3055405,34200,3
BR,export,2026,Paraguai,2643676,52150,12
BR,export,2026,Itália,2014158,44586,2
BR,export,2026,Panamá,1562580,30000,1
BR,export,2026,França,1100000,30000,1
BR,export,2026,Estados Unidos,873788,16000,4
BR,export,2026,México,748445,10900,1
BR,export,2026,Uruguai,467592,17736,177
BR,export,2026,Hong Kong,448815,9000,1
BR,export,2026,Malta,365078,7000,2
BR,export,2026,Turquia,310760,10200,1
BR,export,2026,Equador,257000,6000,1
BR,export,2026,Uruguai,246658,6770,1
BR,export,2026,Colômbia,246051,11908,10
BR,export,2026,Canadá,213686,6000,1
BR,export,2026,Guiana,173999,15695,146
BR,export,2026,Paraguai,170946,4741,27
BR,export,2026,Estados Unidos,170910,4000,1
BR,export,2026,Colômbia,151265,5020,9
BR,export,2026,Malta,150400,7000,2
BR,export,2026,Colômbia,143466,6580,8
BR,export,2026,França,106970,3500,1
BR,export,2026,Argentina,96239,3500,1
BR,export,2026,Croácia,93867,2300,1
BR,export,2026,Paraguai,76349,3300,5
BR,export,2026,Malta,40000,2395,3
BR,export,2026,Argentina,34262,1640,20
BR,export,2026,Chipre,34178,1400,2
BR,export,2026,Zâmbia,34145,700,1
BR,export,2026,Uruguai,33709,1960,23
BR,export,2026,Croácia,31560,1500,1
BR,export,2026,Chipre,19742,936,1
BR,export,2026,Chile,18455,2060,70
BR,export,2026,Suriname,13933,1810,6
BR,export,2026,Peru,10340,609,3
BR,export,2026,Alemanha,10044,54,1
BR,export,2026,Bolívia,6276,180,3
BR,export,2026,Costa Rica,5010,150,1
BR,export,2026,Guiana Francesa,4917,1090,4
BR,export,2026,Argentina,3871,144,4
BR,export,2026,Portugal,3256,612,4
BR,export,2026,Espanha,1714,15,90
BR,export,2026,Países Baixos (Holanda),1149,41,1
BR,export,2026,França,879,37,1
BR,export,2026,Grécia,497,60,10
BR,export,2026,Chipre,341,2,1
BR,export,2026,Países Baixos (Holanda),117,1,1
BR,export,2026,Panamá,84,3,2
BR,export,2026,Barbados,7,0,7
BR,export,2025,Estados Unidos,21424816,506052,81
BR,export,2025,Estados Unidos,10169014,221915,31
BR,export,2025,Portugal,6989091,92960,1
BR,export,2025,Itália,3821345,89172,4
BR,export,2025,Argentina,1815000,40485,2
BR,export,2025,Bélgica,1193636,19900,2
BR,export,2025,Panamá,1073737,22293,1
BR,export,2025,Austrália,997376,19085,9
BR,export,2025,México,875786,29916,4
BR,export,2025,Paraguai,839465,28330,13
BR,export,2025,Austrália,830928,11900,1
BR,export,2025,França,793692,10900,1
BR,export,2025,França,784816,5150,1
BR,export,2025,Panamá,645616,11110,17
BR,export,2025,México,494172,12240,2
BR,export,2025,Colômbia,325734,10375,25
BR,export,2025,Guatemala,316336,6000,1
BR,export,2025,Espanha,297798,6003,35
BR,export,2025,Colômbia,281494,12488,12
BR,export,2025,Espanha,252561,6000,1
BR,export,2025,Bélgica,248863,6000,1
BR,export,2025,Paraguai,193424,9104,19
BR,export,2025,Guiana,188001,19015,120
BR,export,2025,Uruguai,184873,12764,284
BR,export,2025,Turquia,163231,8500,1
BR,export,2025,Chile,153479,5008,3
BR,export,2025,Uruguai,141506,10580,246
BR,export,2025,Paraguai,141174,7513,11
BR,export,2025,Paraguai,134508,5635,6
BR,export,2025,Estados Unidos,133810,2841,9
BR,export,2025,Albânia,116380,3000,1
BR,export,2025,Colômbia,84810,2954,2
BR,export,2025,Uruguai,71147,2300,1
BR,export,2025,Noruega,61853,88,2
BR,export,2025,Argentina,58000,1600,4
BR,export,2025,Chile,49438,3450,97
BR,export,2025,Argentina,38181,1082,1
BR,export,2025,Noruega,30655,18,1
BR,export,2025,Argentina,28000,2400,21
BR,export,2025,Guiné-Bissau,25802,680,1
BR,export,2025,Países Baixos (Holanda),22093,800,1
BR,export,2025,Estados Unidos,21109,2349,7
BR,export,2025,Suriname,19864,1800,10
BR,export,2025,"Congo, República Democrática",18700,750,1
BR,export,2025,Bolívia,13103,618,292
BR,export,2025,Uruguai,9533,530,1
BR,export,2025,Venezuela,7846,930,7
BR,export,2025,Portugal,6700,592,6
BR,export,2025,Portugal,5588,800,1
BR,export,2025,Guiana,2925,195,3
BR,export,2025,Grécia,2797,20,190
BR,export,2025,Guiana Francesa,2455,1000,2
BR,export,2025,Guiana,2080,500,1
BR,export,2025,França,50,36,1
BR,export,2025,Hong Kong,0,0,0
BR,export,2024,Estados Unidos,22151332,567850,91
BR,export,2024,Estados Unidos,18213552,352523,52
BR,export,2024,Itália,8608986,207728,8
BR,export,2024,Itália,5407037,92960,1
BR,export,2024,Paraguai,3190477,48299,7
BR,export,2024,Uruguai,1810602,35700,2
BR,export,2024,Espanha,863281,18014,133
BR,export,2024,Austrália,713664,10900,1
BR,export,2024,Bélgica,700000,10900,1
BR,export,2024,Colômbia,563054,15230,12
BR,export,2024,Emirados Árabes Unidos,437736,14170,5
BR,export,2024,Colômbia,373371,19550,18
BR,export,2024,Uruguai,359605,13878,222
BR,export,2024,Estados Unidos,340106,10856,6
BR,export,2024,Turquia,335660,10800,1
BR,export,2024,Suíça,322886,10800,1
BR,export,2024,Portugal,314335,10060,17
BR,export,2024,"Cayman, Ilhas",272452,6000,1
BR,export,2024,Paraguai,227431,9130,16
BR,export,2024,México,209511,6750,1
BR,export,2024,Porto Rico,206241,3400,1
BR,export,2024,Países Baixos (Holanda),180000,5600,1
BR,export,2024,México,166009,5650,1
BR,export,2024,Paraguai,164820,6700,6
BR,export,2024,Noruega,153171,205,7
BR,export,2024,Turquia,146145,6100,1
BR,export,2024,Chile,135420,3500,1
BR,export,2024,Paraguai,125874,7545,11
BR,export,2024,Itália,119897,3549,3
BR,export,2024,Argentina,108082,2501,3
BR,export,2024,Países Baixos (Holanda),96068,3400,1
BR,export,2024,Chile,82400,1449,2
