flow,year,state,uf,metricFOB,metricKG,metricStatistic
export,2026,Santa Catarina,SC,20778691,387672,
export,2026,Paraná,PR,3911319,113577,
export,2026,Pernambuco,PE,2780183,80550,
export,2026,São Paulo,SP,2263368,58487,
export,2026,Minas Gerais,MG,551475,19006,
export,2026,Amazonas,AM,200254,15805,
export,2026,Rondônia,RO,22134,1800,
export,2026,Amapá,AP,18850,2900,
export,2026,Rio de Janeiro,RJ,15847,819,
export,2026,Não Declarada,ND,10044,54,
export,2026,Mato Grosso do Sul,MS,6276,180,
export,2026,Roraima,RR,4956,310,
export,2025,Santa Catarina,SC,37580765,719849,
export,2025,Pernambuco,PE,6179561,187500,
export,2025,São Paulo,SP,4853064,92253,
export,2025,Paraná,PR,4761414,176801,
export,2025,Não Declarada,ND,826536,6658,
export,2025,Rio de Janeiro,RJ,737233,13035,
export,2025,Minas Gerais,MG,669257,24537,
export,2025,Rio Grande do Sul,RS,633797,26450,
export,2025,Amazonas,AM,287747,22034,
export,2025,Roraima,RR,39786,4640,
export,2025,Rondônia,RO,15842,1746,
export,2025,Mato Grosso,MT,9533,530,
export,2025,Mato Grosso do Sul,MS,7351,657,
export,2025,Amapá,AP,2505,1036,
export,2025,Espírito Santo,ES,0,0,
export,2024,Santa Catarina,SC,49979954,997245,
export,2024,Pernambuco,PE,7563830,253200,
export,2024,Paraná,PR,6412775,191479,
export,2024,São Paulo,SP,2077559,49326,
export,2024,Minas Gerais,MG,1278995,45179,
export,2024,Rio de Janeiro,RJ,346677,5297,
export,2024,Amazonas,AM,116046,12090,
export,2024,Rio Grande do Sul,RS,25408,1395,
export,2024,Roraima,RR,24166,3955,
export,2024,Espírito Santo,ES,22940,502,
export,2024,Amapá,AP,14774,1053,
export,2024,Mato Grosso do Sul,MS,13016,874,
export,2024,Bahia,BA,7333,530,
export,2024,Não Declarada,ND,4000,18,
export,2024,Rondônia,RO,3485,440,
export,2023,Santa Catarina,SC,54491415,1155048,
export,2023,Pernambuco,PE,6691253,164600,
export,2023,Paraná,PR,3363109,92888,
export,2023,São Paulo,SP,1535317,49300,
export,2023,Minas Gerais,MG,1111334,35512,
export,2023,Rio de Janeiro,RJ,630576,12909,
export,2023,Amazonas,AM,107059,12008,
export,2023,Não Declarada,ND,61001,13076,
export,2023,Amapá,AP,35788,4784,
export,2023,Rio Grande do Sul,RS,27429,1474,
export,2023,Espírito Santo,ES,25200,216,
export,2023,Bahia,BA,9557,606,
export,2023,Mato Grosso do Sul,MS,8563,375,
export,2023,Rondônia,RO,2753,240,
export,2023,Roraima,RR,769,100,
export,2022,Santa Catarina,SC,52855814,1284770,
export,2022,Pernambuco,PE,2381209,76350,
export,2022,São Paulo,SP,958834,41343,
export,2022,Paraná,PR,525837,20880,
export,2022,Rio de Janeiro,RJ,339714,3483,
export,2022,Amazonas,AM,138074,14728,
export,2022,Rio Grande do Sul,RS,65973,3910,
export,2022,Minas Gerais,MG,52953,2356,
export,2022,Amapá,AP,24358,3892,
export,2022,Roraima,RR,8667,90160,
export,2022,Mato Grosso do Sul,MS,3383,176,
export,2021,Santa Catarina,SC,24892803,664354,
export,2021,Pernambuco,PE,1740639,87720,
export,2021,São Paulo,SP,1382179,64223,
export,2021,Minas Gerais,MG,566873,25335,
export,2021,Rio de Janeiro,RJ,491992,6608,
export,2021,Paraná,PR,317295,24054,
export,2021,Rio Grande do Sul,RS,271705,19029,
export,2021,Alagoas,AL,95000,6300,
export,2021,Amazonas,AM,60922,3535,
export,2021,Amapá,AP,43639,6686,
export,2021,Roraima,RR,26944,3555,
export,2021,Rondônia,RO,4684,1200,
export,2021,Ceará,CE,2338,117,
export,2021,Espírito Santo,ES,44,1,
export,2020,Santa Catarina,SC,10175728,283052,
export,2020,São Paulo,SP,6414100,119735,
export,2020,Pernambuco,PE,920500,45000,
export,2020,Rio de Janeiro,RJ,267166,546,
export,2020,Paraná,PR,161773,11215,
export,2020,Minas Gerais,MG,116175,7725,
export,2020,Amapá,AP,64511,6959,
export,2020,Amazonas,AM,17603,995,
export,2020,Rio Grande do Sul,RS,11894,1845,
export,2020,Espírito Santo,ES,8142,404,
export,2020,Roraima,RR,996,80,
export,2019,Santa Catarina,SC,14721142,359560,
export,2019,São Paulo,SP,6461208,134322,
export,2019,Minas Gerais,MG,1258190,61461,
export,2019,Rio de Janeiro,RJ,506048,1103,
export,2019,Amapá,AP,263656,19495,
export,2019,Pernambuco,PE,215600,9800,
export,2019,Rio Grande do Sul,RS,79219,8247,
export,2019,Paraná,PR,35560,3865,
export,2019,Roraima,RR,7723,380,
export,2019,Amazonas,AM,7045,750,
export,2019,Goiás,GO,5400,34,
export,2019,Pará,PA,108,131,
export,2018,Santa Catarina,SC,13330576,324488,
export,2018,São Paulo,SP,4477355,95261,
export,2018,Rio de Janeiro,RJ,484031,8430,
export,2018,Rio Grande do Sul,RS,463675,14050,
export,2018,Paraná,PR,85329,8023,
