grupo,flow,year,municipio,uf,metricFOB,metricKG
cap03,export,2026,Itajaí,SC,10822199,4586793
cap03,export,2026,Navegantes,SC,7867239,4532829
cap03,export,2026,Laguna,SC,2491284,1886970
cap03,export,2026,Porto Belo,SC,813435,45400
cap03,export,2026,Garuva,SC,240576,125140
cap03,export,2026,Camboriú,SC,209007,32287
cap03,export,2026,Florianópolis,SC,203470,1252
cap03,export,2026,São Francisco do Sul,SC,167663,28339
cap03,export,2026,Gaspar,SC,129281,50000
cap03,export,2026,Águas Mornas,SC,104167,34226
cap03,export,2026,Jaguaruna,SC,58954,11718
cap03,export,2026,Antônio Carlos,SC,39838,28000
cap03,export,2026,Blumenau,SC,13141,13147
cap03,export,2025,Itajaí,SC,16373631,5467091
cap03,export,2025,Navegantes,SC,10195526,5805237
cap03,export,2025,Laguna,SC,2352492,1607142
cap03,export,2025,Águas Mornas,SC,878990,53182
cap03,export,2025,Antônio Carlos,SC,760026,32870
cap03,export,2025,Florianópolis,SC,338691,1807
cap03,export,2025,São Francisco do Sul,SC,291976,48517
cap03,export,2025,Penha,SC,266140,70500
cap03,export,2025,Jaguaruna,SC,89590,21863
cap03,export,2025,Balneário Camboriú,SC,83250,20430
cap03,export,2025,Garuva,SC,71862,46836
cap03,export,2025,São João do Itaperiú,SC,65000,26000
cap03,export,2025,Blumenau,SC,56331,5337
cap03,export,2025,Porto Belo,SC,566,100
cap03,export,2024,Navegantes,SC,9050002,3926555
cap03,export,2024,Itajaí,SC,8834534,2373974
cap03,export,2024,Laguna,SC,4396528,1672182
cap03,export,2024,Penha,SC,2007866,531410
cap03,export,2024,Águas Mornas,SC,1530582,100806
cap03,export,2024,Porto Belo,SC,780080,65286
cap03,export,2024,Florianópolis,SC,356111,30227
cap03,export,2024,Balneário Camboriú,SC,329400,81720
cap03,export,2024,São Francisco do Sul,SC,219753,43219
cap03,export,2024,Biguaçu,SC,99900,54000
cap03,export,2024,Gaspar,SC,78260,26000
cap03,export,2024,Jaguaruna,SC,43014,8998
cap03,export,2024,Blumenau,SC,32821,3476
cap03,export,2023,Laguna,SC,8484649,3314647
cap03,export,2023,Navegantes,SC,8327360,4457561
cap03,export,2023,Itajaí,SC,4474954,2107936
cap03,export,2023,Penha,SC,2379672,698475
cap03,export,2023,Águas Mornas,SC,682547,23835
cap03,export,2023,Barra Velha,SC,550068,453590
cap03,export,2023,Florianópolis,SC,477060,3518
cap03,export,2023,São Francisco do Sul,SC,183332,40227
cap03,export,2023,Porto Belo,SC,119572,128595
cap03,export,2023,Itapema,SC,43168,11991
cap03,export,2023,Blumenau,SC,29818,4105
cap03,export,2023,Joinville,SC,17751,2754
cap03,export,2023,Imbituba,SC,5237,887
cap03,export,2023,Jaguaruna,SC,80,10
cap03,export,2022,Laguna,SC,8839301,3442946
cap03,export,2022,Navegantes,SC,6655974,3153317
cap03,export,2022,Itajaí,SC,6338002,1460205
cap03,export,2022,Penha,SC,2726091,825995
cap03,export,2022,Águas Mornas,SC,1331786,130383
cap03,export,2022,Porto Belo,SC,1245934,16007
cap03,export,2022,Itapema,SC,562117,408792
cap03,export,2022,Barra Velha,SC,369834,253180
cap03,export,2022,Florianópolis,SC,255988,1741
cap03,export,2022,São Francisco do Sul,SC,155508,28295
cap03,export,2022,Ilhota,SC,39224,15086
cap03,export,2022,Blumenau,SC,16882,2317
cap03,export,2022,Imbituba,SC,4104,793
cap03,export,2021,Laguna,SC,6243364,1877245
cap03,export,2021,Penha,SC,3815594,1036765
cap03,export,2021,Itajaí,SC,3717936,879882
cap03,export,2021,Navegantes,SC,3523117,1599981
cap03,export,2021,Porto Belo,SC,1407758,31539
cap03,export,2021,Águas Mornas,SC,880467,129112
cap03,export,2021,Barra Velha,SC,151499,100765
cap03,export,2021,Gaspar,SC,130379,47328
cap03,export,2021,São Francisco do Sul,SC,123250,24591
cap03,export,2021,Florianópolis,SC,102085,465
cap03,export,2021,Blumenau,SC,19309,3453
cap03,export,2021,Joinville,SC,9783,447
cap03,export,2021,Imbituba,SC,3163,370
cap03,export,2020,Laguna,SC,5127413,2158569
cap03,export,2020,Penha,SC,3662922,918010
cap03,export,2020,Navegantes,SC,3291823,1773715
cap03,export,2020,Itajaí,SC,3120556,786379
cap03,export,2020,Águas Mornas,SC,976372,172319
cap03,export,2020,Porto Belo,SC,924333,195166
cap03,export,2020,Barra Velha,SC,637775,346170
cap03,export,2020,Jaraguá do Sul,SC,262072,68060
cap03,export,2020,Camboriú,SC,209505,18170
cap03,export,2020,São José,SC,163945,17500
cap03,export,2020,Pomerode,SC,84126,18480
cap03,export,2020,São Francisco do Sul,SC,80280,17010
cap03,export,2020,Blumenau,SC,14697,3313
cap03,export,2020,Imbituba,SC,4296,523
cap03,export,2019,Itajaí,SC,7777367,3335893
cap03,export,2019,Laguna,SC,6266535,1243925
cap03,export,2019,Penha,SC,4763504,1222050
cap03,export,2019,Navegantes,SC,2671857,1154143
cap03,export,2019,Águas Mornas,SC,879042,119612
cap03,export,2019,Porto Belo,SC,867623,87298
cap03,export,2019,Florianópolis,SC,680154,36329
cap03,export,2019,Camboriú,SC,337028,29020
cap03,export,2019,Jaraguá do Sul,SC,215734,23645
cap03,export,2019,Itapema,SC,125400,19001
cap03,export,2019,Antônio Carlos,SC,83527,65725
cap03,export,2019,São Francisco do Sul,SC,82971,17755
cap03,export,2019,Blumenau,SC,6621,1901
cap03,export,2019,Imbituba,SC,3912,687
cap03,export,2018,Penha,SC,5579318,1424896
cap03,export,2018,Itajaí,SC,5451351,1445447
cap03,export,2018,Laguna,SC,4800308,555924
cap03,export,2018,Navegantes,SC,2882365,1358988
cap03,export,2018,Águas Mornas,SC,2338885,130372
cap03,export,2018,Porto Belo,SC,1848524,176005
cap03,export,2018,Jaraguá do Sul,SC,488488,180322
cap03,export,2018,Balneário Camboriú,SC,214319,16311
cap03,export,2018,Camboriú,SC,148337,23419
cap03,export,2018,São Francisco do Sul,SC,17238,4050
cap03,export,2018,Blumenau,SC,3807,968
cap03,export,2018,Imbituba,SC,75,20
cap03,export,2017,Itajaí,SC,5746915,1811919
cap03,export,2017,Laguna,SC,4145667,787849
cap03,export,2017,Penha,SC,4021659,1123174
cap03,export,2017,Águas Mornas,SC,3738948,654623
