grupo,flow,year,country,metricFOB,metricKG
cap03,export,2026,Costa do Marfim,5402663,3728770
cap03,export,2026,Estados Unidos,4980731,1459591
cap03,export,2026,Taiwan (Formosa),1963457,120228
cap03,export,2026,Gabão,1639210,949323
cap03,export,2026,China,1315560,768360
cap03,export,2026,Canadá,943471,222084
cap03,export,2026,Congo,882461,613659
cap03,export,2026,Libéria,870041,552998
cap03,export,2026,Nigéria,850699,606145
cap03,export,2026,Guiné,509424,345037
cap03,export,2026,Gana,460620,289805
cap03,export,2026,Burkina Faso,413910,324000
cap03,export,2026,Senegal,370576,233515
cap03,export,2026,Vietnã,243138,66888
cap03,export,2026,Togo,239694,153370
cap03,export,2026,Argentina,207901,85362
cap03,export,2026,Hong Kong,192924,28089
cap03,export,2026,"Congo, República Democrática",178766,108482
cap03,export,2026,Bangladesh,151839,155795
cap03,export,2026,Camarões,148542,106900
cap03,export,2026,"Norfolk, Ilha",144628,41732
cap03,export,2026,Panamá,134668,86159
cap03,export,2026,Emirados Árabes Unidos,126502,28588
cap03,export,2026,Espanha,109167,8287
cap03,export,2026,Coreia do Sul,104167,34226
cap03,export,2026,Namíbia,100606,73830
cap03,export,2026,Guiné Equatorial,89100,54000
cap03,export,2026,México,75740,21640
cap03,export,2026,Moçambique,49350,27000
cap03,export,2026,Malásia,42180,36423
cap03,export,2026,Benin,40000,24795
cap03,export,2026,Singapura,35903,3926
cap03,export,2026,"Marshall, Ilhas",35648,6209
cap03,export,2026,Peru,30000,26220
cap03,export,2026,Bahamas,20931,2552
cap03,export,2026,Alemanha,9631,69
cap03,export,2026,Malta,8217,1528
cap03,export,2026,Japão,5776,170
cap03,export,2026,Itália,4800,30
cap03,export,2026,Dinamarca,3019,495
cap03,export,2026,Antígua e Barbuda,2737,399
cap03,export,2026,Grécia,2406,340
cap03,export,2026,Noruega,2398,356
cap03,export,2026,Portugal,2335,314
cap03,export,2026,Reino Unido,1731,255
cap03,export,2026,Chipre,793,229
cap03,export,2026,Barbados,516,129
cap03,export,2026,Palau,252,39
cap03,export,2026,"Cayman, Ilhas",168,35
cap03,export,2026,Serra Leoa,153,45
cap03,export,2026,Países Baixos (Holanda),132,50
cap03,export,2025,Estados Unidos,9201201,2624425
cap03,export,2025,Gabão,4469999,2597380
cap03,export,2025,Taiwan (Formosa),3921243,194478
cap03,export,2025,China,2732539,1121207
cap03,export,2025,Guiné,1569766,1357064
cap03,export,2025,Costa do Marfim,1569458,1248217
cap03,export,2025,Canadá,1421812,425865
cap03,export,2025,Libéria,1307884,1097202
cap03,export,2025,Congo,1058844,749552
cap03,export,2025,Coreia do Sul,884189,253306
cap03,export,2025,"Congo, República Democrática",695343,505360
cap03,export,2025,Equador,691085,22950
cap03,export,2025,Vietnã,366053,129050
cap03,export,2025,Argentina,334250,140454
cap03,export,2025,Japão,256034,5455
cap03,export,2025,Gana,220877,182742
cap03,export,2025,Hong Kong,209528,4008
cap03,export,2025,Senegal,206406,153461
cap03,export,2025,Colômbia,166554,22005
cap03,export,2025,"Norfolk, Ilha",94378,45564
cap03,export,2025,Nigéria,87842,52600
cap03,export,2025,Togo,83085,53260
cap03,export,2025,Camarões,80458,79545
cap03,export,2025,Malásia,74200,49310
cap03,export,2025,Benin,70589,51905
cap03,export,2025,Panamá,57240,9317
cap03,export,2025,Bahamas,50692,5690
cap03,export,2025,República Dominicana,47800,25155
cap03,export,2025,Guiné Equatorial,45900,27000
cap03,export,2025,"Marshall, Ilhas",44854,8302
cap03,export,2025,Emirados Árabes Unidos,28974,25870
