grupo,flow,year,state,uf,metricFOB,metricKG
cap03,export,2026,Ceará,CE,50858259,4347720
cap03,export,2026,Pará,PA,46900451,5131140
cap03,export,2026,São Paulo,SP,29045329,3432485
cap03,export,2026,Santa Catarina,SC,23149281,11398471
cap03,export,2026,Paraná,PR,14471366,2969662
cap03,export,2026,Rio Grande do Sul,RS,14253002,8900591
cap03,export,2026,Rio Grande do Norte,RN,9236932,1127537
cap03,export,2026,Mato Grosso do Sul,MS,6660953,1002899
cap03,export,2026,Pernambuco,PE,4637661,616378
cap03,export,2026,Bahia,BA,4503593,618577
cap03,export,2026,Rondônia,RO,3607276,1133607
cap03,export,2026,Amazonas,AM,3125189,811261
cap03,export,2026,Rio de Janeiro,RJ,2938929,774250
cap03,export,2026,Espírito Santo,ES,2475190,386898
cap03,export,2026,Piauí,PI,1995035,157765
cap03,export,2026,Maranhão,MA,1220088,77488
cap03,export,2026,Paraíba,PB,967534,46832
cap03,export,2026,Goiás,GO,217429,68211
cap03,export,2026,Não Declarada,ND,214586,53460
cap03,export,2026,Minas Gerais,MG,152666,50000
cap03,export,2026,Alagoas,AL,131465,35569
cap03,export,2026,Roraima,RR,91352,30530
cap03,export,2026,Amapá,AP,17354,2095
cap03,export,2025,Ceará,CE,84373886,7148415
cap03,export,2025,Pará,PA,73639579,8527505
cap03,export,2025,São Paulo,SP,51358835,6239654
cap03,export,2025,Santa Catarina,SC,32175845,13304502
cap03,export,2025,Paraná,PR,28439099,7065950
cap03,export,2025,Rio Grande do Norte,RN,26471265,2318568
cap03,export,2025,Rio Grande do Sul,RS,20010695,13780004
cap03,export,2025,Bahia,BA,10792328,1094439
cap03,export,2025,Mato Grosso do Sul,MS,10688157,2011285
cap03,export,2025,Pernambuco,PE,9171114,1198674
cap03,export,2025,Espírito Santo,ES,7416991,792960
cap03,export,2025,Amazonas,AM,6311290,1961015
cap03,export,2025,Rondônia,RO,5820963,1710486
cap03,export,2025,Rio de Janeiro,RJ,4540609,527706
cap03,export,2025,Piauí,PI,3859683,291445
cap03,export,2025,Paraíba,PB,1084124,53930
cap03,export,2025,Goiás,GO,359327,83210
cap03,export,2025,Maranhão,MA,351878,62864
cap03,export,2025,Alagoas,AL,130838,18314
cap03,export,2025,Não Declarada,ND,21802,4752
cap03,export,2025,Roraima,RR,21789,3915
cap03,export,2025,Amapá,AP,14066,1886
cap03,export,2024,Ceará,CE,93779141,7011822
cap03,export,2024,Pará,PA,72473081,8528625
cap03,export,2024,São Paulo,SP,39967400,5491892
cap03,export,2024,Paraná,PR,34977438,7646784
cap03,export,2024,Santa Catarina,SC,27872898,8952763
cap03,export,2024,Rio Grande do Norte,RN,25038421,2174143
cap03,export,2024,Rio Grande do Sul,RS,16387131,10310096
cap03,export,2024,Bahia,BA,16380704,1424467
cap03,export,2024,Pernambuco,PE,9079425,1037884
cap03,export,2024,Espírito Santo,ES,7285017,715413
cap03,export,2024,Rio de Janeiro,RJ,5763762,932908
cap03,export,2024,Paraíba,PB,4849785,245480
cap03,export,2024,Amazonas,AM,4029351,1322730
cap03,export,2024,Piauí,PI,3911312,206434
cap03,export,2024,Rondônia,RO,3461778,1048230
cap03,export,2024,Mato Grosso do Sul,MS,1899416,533605
cap03,export,2024,Goiás,GO,472811,76291
cap03,export,2024,Maranhão,MA,424349,71794
cap03,export,2024,Alagoas,AL,94556,14853
cap03,export,2024,Não Declarada,ND,93612,24003
cap03,export,2024,Amapá,AP,15118,1810
cap03,export,2024,Roraima,RR,13372,7459
cap03,export,2024,Mato Grosso,MT,181,96
cap03,export,2023,Ceará,CE,74734864,7208427
cap03,export,2023,Pará,PA,72047075,9640589
cap03,export,2023,Rio Grande do Norte,RN,32285677,3026309
cap03,export,2023,Santa Catarina,SC,26174078,11349781
cap03,export,2023,Bahia,BA,23459859,1789028
cap03,export,2023,Paraná,PR,18705663,5203743
cap03,export,2023,São Paulo,SP,14531678,2659829
cap03,export,2023,Rio Grande do Sul,RS,14049678,8724670
cap03,export,2023,Pernambuco,PE,6675046,851932
cap03,export,2023,Espírito Santo,ES,6111438,674757
cap03,export,2023,Paraíba,PB,5022814,263574
cap03,export,2023,Rio de Janeiro,RJ,4456590,479183
cap03,export,2023,Rondônia,RO,2626853,890298
cap03,export,2023,Piauí,PI,2562278,122389
cap03,export,2023,Amazonas,AM,1766246,290380
cap03,export,2023,Maranhão,MA,702453,114965
cap03,export,2023,Mato Grosso do Sul,MS,301340,55900
cap03,export,2023,Goiás,GO,110412,15558
cap03,export,2023,Acre,AC,99414,41153
cap03,export,2023,Alagoas,AL,66395,11147
cap03,export,2023,Roraima,RR,17122,8485
cap03,export,2023,Amapá,AP,12938,1372
cap03,export,2023,Mato Grosso,MT,765,27
cap03,export,2023,Não Declarada,ND,396,1
cap03,export,2023,Minas Gerais,MG,105,7
cap03,export,2022,Ceará,CE,82244951,7057520
cap03,export,2022,Pará,PA,81998250,11586338
cap03,export,2022,Rio Grande do Norte,RN,46958622,4333943
cap03,export,2022,Santa Catarina,SC,28510126,9774318
cap03,export,2022,Bahia,BA,26510462,2364928
cap03,export,2022,São Paulo,SP,15822805,3601635
cap03,export,2022,Paraná,PR,13800866,5162345
cap03,export,2022,Rio Grande do Sul,RS,12170942,7138947
cap03,export,2022,Espírito Santo,ES,10335078,1082529
cap03,export,2022,Paraíba,PB,9393685,491831
cap03,export,2022,Pernambuco,PE,8952711,1066732
cap03,export,2022,Mato Grosso do Sul,MS,3824526,828101
cap03,export,2022,Rondônia,RO,2311032,871263
cap03,export,2022,Rio de Janeiro,RJ,2242900,169726
cap03,export,2022,Amazonas,AM,2207878,196731
cap03,export,2022,Piauí,PI,1522736,87534
cap03,export,2022,Maranhão,MA,458482,97242
cap03,export,2022,Goiás,GO,168855,54885
cap03,export,2022,Não Declarada,ND,92050,26000
cap03,export,2022,Alagoas,AL,83815,11683
cap03,export,2022,Roraima,RR,26756,14730
cap03,export,2022,Amapá,AP,8694,886
cap03,export,2021,Ceará,CE,102320677,7451763
cap03,export,2021,Pará,PA,81545920,11359944
cap03,export,2021,Rio Grande do Norte,RN,45231678,3831049
cap03,export,2021,Bahia,BA,31210507,2491613
cap03,export,2021,Santa Catarina,SC,20263742,5777253
cap03,export,2021,São Paulo,SP,11489438,2854596
cap03,export,2021,Pernambuco,PE,10661150,1134904
cap03,export,2021,Paraíba,PB,8820623,354889
cap03,export,2021,Espírito Santo,ES,8652682,955194
cap03,export,2021,Rio Grande do Sul,RS,6462918,3859830
cap03,export,2021,Mato Grosso do Sul,MS,6424220,1161927
cap03,export,2021,Paraná,PR,5164722,2172289
cap03,export,2021,Amazonas,AM,3908855,1219666
cap03,export,2021,Piauí,PI,2667710,116448
cap03,export,2021,Rondônia,RO,2014824,806511
cap03,export,2021,Rio de Janeiro,RJ,1203049,160238
cap03,export,2021,Maranhão,MA,302398,66716
cap03,export,2021,Goiás,GO,193106,79104
cap03,export,2021,Alagoas,AL,71664,11417
cap03,export,2021,Minas Gerais,MG,40998,4706
cap03,export,2021,Roraima,RR,32841,18620
cap03,export,2021,Amapá,AP,9867,1085
cap03,export,2021,Sergipe,SE,4181,500
cap03,export,2021,Não Declarada,ND,1623,28
cap03,export,2020,Pará,PA,71494298,9739770
cap03,export,2020,Ceará,CE,66965418,7146485
cap03,export,2020,Bahia,BA,20595024,1472040
cap03,export,2020,Santa Catarina,SC,19516901,6827755
cap03,export,2020,Rio Grande do Norte,RN,17811918,2070286
cap03,export,2020,São Paulo,SP,11591334,3189390
cap03,export,2020,Rio Grande do Sul,RS,10501346,7756278
cap03,export,2020,Pernambuco,PE,6318024,695886
cap03,export,2020,Mato Grosso do Sul,MS,5613582,1069147
cap03,export,2020,Espírito Santo,ES,4347191,626567
cap03,export,2020,Paraíba,PB,3770534,163956
cap03,export,2020,Piauí,PI,2595123,181224
cap03,export,2020,Amazonas,AM,2557298,879671
cap03,export,2020,Rio de Janeiro,RJ,1905502,141070
cap03,export,2020,Rondônia,RO,1504218,782792
cap03,export,2020,Paraná,PR,1118987,675995
cap03,export,2020,Maranhão,MA,278470,57268
cap03,export,2020,Alagoas,AL,76651,11781
cap03,export,2020,Acre,AC,18228,8022
cap03,export,2020,Roraima,RR,10339,10750
cap03,export,2020,Não Declarada,ND,10214,1631
cap03,export,2020,Amapá,AP,7769,1028
cap03,export,2020,Goiás,GO,4228,800
cap03,export,2019,Ceará,CE,87636640,9625076
cap03,export,2019,Pará,PA,72532588,8352800
cap03,export,2019,Santa Catarina,SC,24664625,7333484
cap03,export,2019,Rio Grande do Norte,RN,22060457,2738889
cap03,export,2019,São Paulo,SP,16214735,3189033
cap03,export,2019,Rio Grande do Sul,RS,15858974,6131159
cap03,export,2019,Bahia,BA,15030688,1360890
cap03,export,2019,Rio de Janeiro,RJ,10474773,476859
cap03,export,2019,Espírito Santo,ES,7142002,835345
cap03,export,2019,Piauí,PI,5572358,258432
cap03,export,2019,Mato Grosso do Sul,MS,5544943,922861
cap03,export,2019,Pernambuco,PE,4503947,536453
cap03,export,2019,Paraíba,PB,2908359,124941
cap03,export,2019,Amazonas,AM,2802993,864366
cap03,export,2019,Rondônia,RO,1300880,571691
cap03,export,2019,Paraná,PR,597876,221846
cap03,export,2019,Maranhão,MA,263339,52069
cap03,export,2019,Alagoas,AL,129577,26490
