validar (S/N),razao_social,nome_fantasia,municipio,cnae_principal,cnae_nome,porte,desde,cnpj,observacao
,AMD COMERCIO DE EMBARCACOES E EQUIPAMENTOS NAUTICOS LTDA,,Antonio Carlos,4614100,"Representantes comerciais e agentes do comércio de máquinas, equipamentos, embarcações e aeronaves",Demais,2007,08899661000102,
,ESTALEIRO DIVERPRO PRODUTOS E SERVICOS NAUTICOS LTDA,ESTALEIRO DIVERPRO,Araquari,3012100,Construção de embarcações para esporte e lazer,Empresa de pequeno porte,2022,48929372000123,
,ESTALEIRO VIK BOATS LTDA,,Araquari,3012100,Construção de embarcações para esporte e lazer,Empresa de pequeno porte,2024,54038222000122,
,OCEANIA BOATS INDUSTRIA DE BARCOS LTDA,OCEANIA BOATS,Araquari,3012100,Construção de embarcações para esporte e lazer,Empresa de pequeno porte,2021,41992986000100,
,BARRA SUL - TURISMO NAUTICO LTDA.,CAPITAO GANCHO,Balneario Camboriu,5099801,Transporte aquaviário para passeios turísticos,Demais,2006,08511976000130,
,"BTS INDUSTRIA, COMERCIO E SERVICOS NAUTICOS LTDA",,Balneario Camboriu,3011302,"Construção de embarcações para uso comercial e para usos especiais, exceto de grande porte",Empresa de pequeno porte,2012,15065767000176,
,DI MONTECHIARI ESTALEIRO LTDA,DM BOAT,Balneario Camboriu,3011301,Construção de embarcações de grande porte,Demais,2022,47053398000198,
,IATE MARINE ADMINISTRADORA DE COTAS NAUTICAS LTDA,IATE MARINE,Balneario Camboriu,8211300,Serviços combinados de escritório e apoio administrativo,Demais,2014,21173276000141,
,KASTIGAR & LENZI YACHTS LTDA,,Balneario De Picarras,3012100,Construção de embarcações para esporte e lazer,Demais,2004,06977040000174,
,ESTALEIRO ATLANTICO SUL INDUSTRIA E COMERCIO NAVAL LTDA,,Biguacu,3012100,Construção de embarcações para esporte e lazer,Demais,2026,66195878000138,
,FIBRAS BIGUACU FABRICACAO E COMERCIO DE EMBARCACOES LTDA,FIBRAS BIGUACU,Biguacu,3012100,Construção de embarcações para esporte e lazer,Demais,2011,14162300000181,
,RAL EMPREENDIMENTOS IMOBILIARIOS E NAUTICOS LTDA,RAL EMPREENDIMENTOS IMOBILIARIOS,Biguacu,7319002,Promoção de vendas,Demais,2013,19013933000141,
,STAR NAUTICA LTDA,STAR,Biguacu,3012100,Construção de embarcações para esporte e lazer,Empresa de pequeno porte,2019,33725273000152,
,BLUMENAU NAUTICA LTDA,BLU NAUTICA,Blumenau,4763605,Comércio varejista de embarcações e outros veículos recreativos; peças e acessórios,Demais,1997,02278431000140,
,COSTA VERDE CHARTER NAUTICO TURISMO LTDA,,Bombinhas,4763605,Comércio varejista de embarcações e outros veículos recreativos; peças e acessórios,Demais,2006,07844005000140,
,INNOVA MARINE INDUSTRIA E COMERCIO LTDA,INNOVA MARINE INDUSTRIA E COMERCIO,Camboriu,4763605,Comércio varejista de embarcações e outros veículos recreativos; peças e acessórios,Demais,2021,43261180000178,
,ASSOCIACAO DAS EMPRESAS DE TRANSPORTE NAUTICO DA BARRA DA LAGOA,ASSOCIACAO DE TRANSPORTE NAUTICO DA BARRA DA LAGOA,Florianopolis,5099801,Transporte aquaviário para passeios turísticos,Demais,2010,12222356000159,
,CONSORCIO ESTALEIRO SCHAEFER YACHTS E SAFEHAVEN MARINE,,Florianopolis,3011302,"Construção de embarcações para uso comercial e para usos especiais, exceto de grande porte",Demais,2025,62832355000102,
,ESTALEIRO PELICANNO LTDA,PELICANNO,Florianopolis,3012100,Construção de embarcações para esporte e lazer,Empresa de pequeno porte,2020,36201066000197,
,ILHA BOATS INDUSTRIA NAUTICA LTDA.,FS BOATS,Florianopolis,3012100,Construção de embarcações para esporte e lazer,Empresa de pequeno porte,2006,07936287000105,
,IPC INDUSTRIA E COMERCIO DE EMBARCACOES LTDA,,Florianopolis,3012100,Construção de embarcações para esporte e lazer,Demais,2017,29284292000113,
