ano,municipio_codigo,municipio,cnae,descricao,grupo,estab_com_vinculo,vinculos_ativos,estab_declarantes
2024,420010,Abelardo Luz,9319199,Outras atividades esportivas (inclui escolas e clubes náuticos),Comércio e serviços náuticos,1,5,3
2024,420020,Agrolândia,9319199,Outras atividades esportivas (inclui escolas e clubes náuticos),Comércio e serviços náuticos,0,0,1
2024,420030,Agronômica,5232000,Atividades de agenciamento marítimo,Portos e navegação,0,0,1
2024,420030,Agronômica,7721700,Aluguel de equipamentos recreativos e esportivos,Comércio e serviços náuticos,1,1,1
2024,420055,Águas Frias,9319199,Outras atividades esportivas (inclui escolas e clubes náuticos),Comércio e serviços náuticos,0,0,2
2024,420100,Anita Garibaldi,0311601,Pesca de peixes em água salgada,Pesca e aquicultura,0,0,1
2024,420100,Anita Garibaldi,9319199,Outras atividades esportivas (inclui escolas e clubes náuticos),Comércio e serviços náuticos,1,1,1
2024,420120,Antônio Carlos,3012100,Construção de embarcações para esporte e lazer,Indústria náutica,1,1,1
2024,420120,Antônio Carlos,5030101,Navegação de apoio marítimo,Portos e navegação,0,0,1
2024,420120,Antônio Carlos,9319199,Outras atividades esportivas (inclui escolas e clubes náuticos),Comércio e serviços náuticos,0,0,2
2024,420130,Araquari,0311601,Pesca de peixes em água salgada,Pesca e aquicultura,0,0,99
2024,420130,Araquari,0311602,Pesca de crustáceos e moluscos em água salgada,Pesca e aquicultura,0,0,4
2024,420130,Araquari,0321301,Criação de peixes em água salgada e salobra,Pesca e aquicultura,0,0,1
2024,420130,Araquari,0321302,Criação de camarões em água salgada e salobra,Pesca e aquicultura,0,0,6
2024,420130,Araquari,3011302,"Construção de embarcações para uso comercial e usos especiais, exceto de grande porte",Indústria náutica,1,4,1
2024,420130,Araquari,3012100,Construção de embarcações para esporte e lazer,Indústria náutica,2,9,6
2024,420130,Araquari,3230200,Fabricação de artefatos para pesca e esporte,Indústria náutica,2,4,5
2024,420130,Araquari,3317101,Manutenção e reparação de embarcações e estruturas flutuantes,Indústria naval,0,0,1
2024,420130,Araquari,4763605,Comércio varejista de embarcações e outros veículos recreativos,Comércio e serviços náuticos,2,5,2
2024,420130,Araquari,5231102,Atividades do operador portuário,Portos e navegação,0,0,1
2024,420130,Araquari,7721700,Aluguel de equipamentos recreativos e esportivos,Comércio e serviços náuticos,0,0,1
2024,420130,Araquari,9319199,Outras atividades esportivas (inclui escolas e clubes náuticos),Comércio e serviços náuticos,0,0,1
2024,420140,Araranguá,0311601,Pesca de peixes em água salgada,Pesca e aquicultura,0,0,268
2024,420140,Araranguá,0311602,Pesca de crustáceos e moluscos em água salgada,Pesca e aquicultura,0,0,3
2024,420140,Araranguá,0311604,Atividades de apoio à pesca em água salgada,Pesca e aquicultura,0,0,1
2024,420140,Araranguá,0321305,Atividades de apoio à aquicultura em água salgada e salobra,Pesca e aquicultura,0,0,2
2024,420140,Araranguá,1020101,"Preservação de peixes, crustáceos e moluscos",Pesca e aquicultura,0,0,1
2024,420140,Araranguá,3230200,Fabricação de artefatos para pesca e esporte,Indústria náutica,1,10,1
2024,420140,Araranguá,4763605,Comércio varejista de embarcações e outros veículos recreativos,Comércio e serviços náuticos,1,11,1
2024,420140,Araranguá,5099801,Transporte aquaviário para passeios turísticos,Comércio e serviços náuticos,1,1,1
2024,420140,Araranguá,9319199,Outras atividades esportivas (inclui escolas e clubes náuticos),Comércio e serviços náuticos,0,0,3
2024,420150,Armazém,7721700,Aluguel de equipamentos recreativos e esportivos,Comércio e serviços náuticos,0,0,1
2024,420160,Arroio Trinta,9319199,Outras atividades esportivas (inclui escolas e clubes náuticos),Comércio e serviços náuticos,0,0,5
2024,420165,Arvoredo,9319199,Outras atividades esportivas (inclui escolas e clubes náuticos),Comércio e serviços náuticos,0,0,1
2024,420170,Ascurra,3317101,Manutenção e reparação de embarcações e estruturas flutuantes,Indústria naval,0,0,1
2024,420170,Ascurra,3317102,Manutenção e reparação de embarcações para esporte e lazer,Indústria náutica,0,0,1
2024,420170,Ascurra,9319199,Outras atividades esportivas (inclui escolas e clubes náuticos),Comércio e serviços náuticos,0,0,1
2024,420195,Balneário Arroio do Silva,0311601,Pesca de peixes em água salgada,Pesca e aquicultura,0,0,323
2024,420195,Balneário Arroio do Silva,0311602,Pesca de crustáceos e moluscos em água salgada,Pesca e aquicultura,0,0,1
2024,420195,Balneário Arroio do Silva,0321305,Atividades de apoio à aquicultura em água salgada e salobra,Pesca e aquicultura,0,0,2
2024,420195,Balneário Arroio do Silva,9319199,Outras atividades esportivas (inclui escolas e clubes náuticos),Comércio e serviços náuticos,0,0,1
2024,420200,Balneário Camboriú,0311601,Pesca de peixes em água salgada,Pesca e aquicultura,2,40,116
