ano,uf,cnae,descricao,grupo,estab_com_vinculo,vinculos_ativos,estab_declarantes
2025,,0311601,Pesca de peixes em água salgada,Pesca e aquicultura,2,9,611
2025,,0311602,Pesca de crustáceos e moluscos em água salgada,Pesca e aquicultura,0,0,1147
2025,,0311604,Atividades de apoio à pesca em água salgada,Pesca e aquicultura,1,4,17
2025,,0321301,Criação de peixes em água salgada e salobra,Pesca e aquicultura,0,0,1
2025,,0321302,Criação de camarões em água salgada e salobra,Pesca e aquicultura,0,0,38
2025,,0321303,Criação de ostras e mexilhões em água salgada e salobra,Pesca e aquicultura,0,0,1
2025,,0321305,Atividades de apoio à aquicultura em água salgada e salobra,Pesca e aquicultura,0,0,3
2025,,1020102,"Fabricação de conservas de peixes, crustáceos e moluscos",Pesca e aquicultura,0,0,1
2025,,3011301,Construção de embarcações de grande porte,Indústria naval,0,0,1
2025,,5239799,Atividades auxiliares dos transportes aquaviários,Portos e navegação,0,0,1
2025,,9319199,Outras atividades esportivas (inclui escolas e clubes náuticos),Comércio e serviços náuticos,0,0,2
2025,AC,0311601,Pesca de peixes em água salgada,Pesca e aquicultura,0,0,3
2025,AC,0311604,Atividades de apoio à pesca em água salgada,Pesca e aquicultura,0,0,2
2025,AC,1020102,"Fabricação de conservas de peixes, crustáceos e moluscos",Pesca e aquicultura,2,10,2
2025,AC,3011302,"Construção de embarcações para uso comercial e usos especiais, exceto de grande porte",Indústria náutica,1,8,1
2025,AC,3012100,Construção de embarcações para esporte e lazer,Indústria náutica,0,0,1
2025,AC,3317102,Manutenção e reparação de embarcações para esporte e lazer,Indústria náutica,0,0,1
2025,AC,4763605,Comércio varejista de embarcações e outros veículos recreativos,Comércio e serviços náuticos,2,5,6
2025,AC,5011401,"Transporte marítimo de cabotagem, carga",Portos e navegação,0,0,3
2025,AC,5099801,Transporte aquaviário para passeios turísticos,Comércio e serviços náuticos,0,0,2
2025,AC,7719501,"Locação de embarcações sem tripulação, exceto para fins recreativos",Comércio e serviços náuticos,0,0,1
2025,AC,7721700,Aluguel de equipamentos recreativos e esportivos,Comércio e serviços náuticos,1,12,6
2025,AC,9319199,Outras atividades esportivas (inclui escolas e clubes náuticos),Comércio e serviços náuticos,0,0,16
2025,AL,0311601,Pesca de peixes em água salgada,Pesca e aquicultura,1,7,1350
2025,AL,0311602,Pesca de crustáceos e moluscos em água salgada,Pesca e aquicultura,0,0,7212
2025,AL,0311604,Atividades de apoio à pesca em água salgada,Pesca e aquicultura,0,0,511
2025,AL,0321301,Criação de peixes em água salgada e salobra,Pesca e aquicultura,0,0,2
2025,AL,0321302,Criação de camarões em água salgada e salobra,Pesca e aquicultura,3,30,14
2025,AL,0321303,Criação de ostras e mexilhões em água salgada e salobra,Pesca e aquicultura,0,0,5
2025,AL,0321305,Atividades de apoio à aquicultura em água salgada e salobra,Pesca e aquicultura,0,0,328
2025,AL,1020101,"Preservação de peixes, crustáceos e moluscos",Pesca e aquicultura,4,106,7
2025,AL,1020102,"Fabricação de conservas de peixes, crustáceos e moluscos",Pesca e aquicultura,3,8,6
2025,AL,3011301,Construção de embarcações de grande porte,Indústria naval,1,12,2
2025,AL,3012100,Construção de embarcações para esporte e lazer,Indústria náutica,1,30,3
2025,AL,3230200,Fabricação de artefatos para pesca e esporte,Indústria náutica,1,1,2
2025,AL,3317101,Manutenção e reparação de embarcações e estruturas flutuantes,Indústria naval,1,1,1
2025,AL,3317102,Manutenção e reparação de embarcações para esporte e lazer,Indústria náutica,4,7,8
2025,AL,4329102,Instalação de equipamentos para orientação à navegação,Indústria náutica,1,1,1
2025,AL,4763605,Comércio varejista de embarcações e outros veículos recreativos,Comércio e serviços náuticos,7,31,14
2025,AL,5011401,"Transporte marítimo de cabotagem, carga",Portos e navegação,0,0,1
2025,AL,5030101,Navegação de apoio marítimo,Portos e navegação,0,0,2
2025,AL,5030102,Navegação de apoio portuário,Portos e navegação,1,7,1
2025,AL,5099801,Transporte aquaviário para passeios turísticos,Comércio e serviços náuticos,13,33,58
2025,AL,5231101,Administração da infraestrutura portuária,Portos e navegação,2,22,2
2025,AL,5231102,Atividades do operador portuário,Portos e navegação,5,357,8
2025,AL,5232000,Atividades de agenciamento marítimo,Portos e navegação,3,9,6
2025,AL,5239799,Atividades auxiliares dos transportes aquaviários,Portos e navegação,9,65,12
2025,AL,7721700,Aluguel de equipamentos recreativos e esportivos,Comércio e serviços náuticos,17,44,47
2025,AL,9319199,Outras atividades esportivas (inclui escolas e clubes náuticos),Comércio e serviços náuticos,5,38,47
2025,AM,0311601,Pesca de peixes em água salgada,Pesca e aquicultura,0,0,34
2025,AM,0311602,Pesca de crustáceos e moluscos em água salgada,Pesca e aquicultura,0,0,2
2025,AM,0311604,Atividades de apoio à pesca em água salgada,Pesca e aquicultura,1,1,15
2025,AM,0321301,Criação de peixes em água salgada e salobra,Pesca e aquicultura,0,0,4
2025,AM,0321302,Criação de camarões em água salgada e salobra,Pesca e aquicultura,0,0,2
2025,AM,0321305,Atividades de apoio à aquicultura em água salgada e salobra,Pesca e aquicultura,0,0,1
2025,AM,1020101,"Preservação de peixes, crustáceos e moluscos",Pesca e aquicultura,6,146,12
2025,AM,1020102,"Fabricação de conservas de peixes, crustáceos e moluscos",Pesca e aquicultura,16,212,38
2025,AM,3011301,Construção de embarcações de grande porte,Indústria naval,24,3532,51
2025,AM,3011302,"Construção de embarcações para uso comercial e usos especiais, exceto de grande porte",Indústria náutica,17,94,76
2025,AM,3012100,Construção de embarcações para esporte e lazer,Indústria náutica,8,160,33
2025,AM,3230200,Fabricação de artefatos para pesca e esporte,Indústria náutica,3,113,7
2025,AM,3317101,Manutenção e reparação de embarcações e estruturas flutuantes,Indústria naval,20,102,90
2025,AM,3317102,Manutenção e reparação de embarcações para esporte e lazer,Indústria náutica,4,7,23
2025,AM,4329102,Instalação de equipamentos para orientação à navegação,Indústria náutica,0,0,3
2025,AM,4763605,Comércio varejista de embarcações e outros veículos recreativos,Comércio e serviços náuticos,34,170,121
2025,AM,5011401,"Transporte marítimo de cabotagem, carga",Portos e navegação,7,200,36
2025,AM,5030101,Navegação de apoio marítimo,Portos e navegação,2,6,5
2025,AM,5030102,Navegação de apoio portuário,Portos e navegação,5,57,14
2025,AM,5099801,Transporte aquaviário para passeios turísticos,Comércio e serviços náuticos,2,5,35
2025,AM,5231101,Administração da infraestrutura portuária,Portos e navegação,2,13,11
2025,AM,5231102,Atividades do operador portuário,Portos e navegação,22,1081,40
2025,AM,5232000,Atividades de agenciamento marítimo,Portos e navegação,27,163,47
2025,AM,5239701,Serviços de praticagem,Portos e navegação,4,34,7
2025,AM,5239799,Atividades auxiliares dos transportes aquaviários,Portos e navegação,7,88,17
2025,AM,7719501,"Locação de embarcações sem tripulação, exceto para fins recreativos",Comércio e serviços náuticos,7,9,44
2025,AM,7721700,Aluguel de equipamentos recreativos e esportivos,Comércio e serviços náuticos,12,36,45
2025,AM,9319199,Outras atividades esportivas (inclui escolas e clubes náuticos),Comércio e serviços náuticos,5,6,45
2025,AP,0311601,Pesca de peixes em água salgada,Pesca e aquicultura,0,0,1642
2025,AP,0311604,Atividades de apoio à pesca em água salgada,Pesca e aquicultura,0,0,18
2025,AP,0321301,Criação de peixes em água salgada e salobra,Pesca e aquicultura,0,0,1
